year,state,variable,max_bin_pp
2016,MD,hhSize,1.0
2016,MD,autos,1.6
2016,MD,dwellingType,0.5
2016,MD,hh_inc9,0.5
2016,MD,age_bin,0.9
2016,MD,gender,0.3
2016,MD,occ_silo,2.0
2016,MD,race4,0.6
2016,VA,hhSize,0.8
2016,VA,autos,2.5
2016,VA,dwellingType,0.8
2016,VA,hh_inc9,0.8
2016,VA,age_bin,1.0
2016,VA,gender,0.6
2016,VA,occ_silo,2.2
2016,VA,race4,0.9
2016,PA,hhSize,0.6
2016,PA,autos,2.5
2016,PA,dwellingType,1.6
2016,PA,hh_inc9,1.2
2016,PA,age_bin,0.8
2016,PA,gender,0.6
2016,PA,occ_silo,3.3
2016,PA,race4,0.5
2016,DE,hhSize,1.0
2016,DE,autos,2.5
2016,DE,dwellingType,1.0
2016,DE,hh_inc9,0.8
2016,DE,age_bin,1.1
2016,DE,gender,0.1
2016,DE,occ_silo,2.0
2016,DE,race4,0.6
2016,DC,hhSize,0.5
2016,DC,autos,0.1
2016,DC,dwellingType,1.9
2016,DC,hh_inc9,1.0
2016,DC,age_bin,3.0
2016,DC,gender,0.0
2016,DC,occ_silo,1.7
2016,DC,race4,1.7
2016,WV,hhSize,0.8
2016,WV,autos,2.6
2016,WV,dwellingType,1.7
2016,WV,hh_inc9,2.4
2016,WV,age_bin,1.0
2016,WV,gender,0.9
2016,WV,occ_silo,5.7
2016,WV,race4,1.8
2017,MD,hhSize,1.2
2017,MD,autos,2.0
2017,MD,dwellingType,0.2
2017,MD,hh_inc9,0.3
2017,MD,age_bin,1.1
2017,MD,gender,0.3
2017,MD,occ_silo,2.3
2017,MD,race4,0.5
2017,VA,hhSize,1.1
2017,VA,autos,2.6
2017,VA,dwellingType,0.5
2017,VA,hh_inc9,1.1
2017,VA,age_bin,1.3
2017,VA,gender,0.6
2017,VA,occ_silo,2.3
2017,VA,race4,0.9
2017,PA,hhSize,0.7
2017,PA,autos,2.7
2017,PA,dwellingType,1.5
2017,PA,hh_inc9,2.1
2017,PA,age_bin,1.0
2017,PA,gender,0.7
2017,PA,occ_silo,2.6
2017,PA,race4,0.6
2017,DE,hhSize,1.1
2017,DE,autos,2.8
2017,DE,dwellingType,0.7
2017,DE,hh_inc9,0.8
2017,DE,age_bin,1.3
2017,DE,gender,0.0
2017,DE,occ_silo,1.7
2017,DE,race4,0.5
2017,DC,hhSize,0.5
2017,DC,autos,0.6
2017,DC,dwellingType,2.0
2017,DC,hh_inc9,1.9
2017,DC,age_bin,4.4
2017,DC,gender,0.0
2017,DC,occ_silo,2.3
2017,DC,race4,1.3
2017,WV,hhSize,1.3
2017,WV,autos,3.1
2017,WV,dwellingType,2.0
2017,WV,hh_inc9,2.0
2017,WV,age_bin,1.1
2017,WV,gender,1.1
2017,WV,occ_silo,4.8
2017,WV,race4,2.3
2018,MD,hhSize,1.1
2018,MD,autos,2.2
