cx,cy,hwy,in_lid,in_tnode,out_lid,out_fnode,lids,snap_d,cordon_aadt,road,prefix,truck_frac,cur_vol,external,anchor_id,anchored_crossings
410949.8865197194,160811.8507749398,motorway,123133,86020,123136,90853,"['123133', '123136']",1063.8879699717495,189620.0,NO NAME,IS,0.092,84620.0,105000.0,B2529,41640
407006.21660727134,162667.58333870827,trunk,264912,201746,146695,132588,"['146695', '264912']",599.9292994891954,54592.0,COLUMBIA PIKE,US,0.0205341441969519,57000.0,0.0,GW_US_264912,29820
476612.4616999263,212730.0832689908,motorway,395249,81047,147749,173424,"['395249', '147749']",2062.4453713756443,78960.0,"I-95 NE / JFK Mem Hwy (mainline, ramp-only at edge)",MD,0.092,55400.0,23560.0,GW_MD_395248,31720
385424.46552725026,187585.99583128703,motorway,431759,655850923,268791,13805335942,"['431759', '268791']",166.78845755494305,55000.0,I-70 W at Mt Airy (interchange ramps only at edge),RP,0.092,36070.0,18930.0,GW_RP_230710,21170
429721.09877640445,122018.756969461,trunk,377190,184775,161999,187587,"['161999', '377190', '453673', '366454', '366455']",399.56465751334554,41742.0,SOUTHERN MD BLVD,MD,0.02,74590.0,0.0,GW_MD_377190,28210
383990.97212732944,185410.7925353729,trunk,177396,90459,177395,90459,"['177395', '177396']",1730.2496333969543,16382.0,RIDGE RD,MD,0.02,9340.0,7042.0,B2506,8810
425506.4560430529,146821.47086819288,trunk,178791,181885,294930,9524,"['178791', '294930']",141.12281108418685,79590.0,ROBERT CRAIN HWY,MD,0.02,98140.0,0.0,T0004,33680
454385.225556268,147250.37866476228,motorway,19150,77138,19146,198770,"['19146', '19150']",3702.311188185284,75334.0,BLUE STAR MEMORIAL HWY,US,0.031,33610.0,41724.0,T0003,33210
426534.5819208901,143134.50359331293,motorway,22368,170385,21474,119859,"['21474', '22368']",1289.551905642162,85395.0,JOHN HANSON HWY,IS,0.092,39580.0,45815.0,GW_IS_22368,0
394263.7222057897,227913.83861299529,trunk,22900,23592,22899,23592,"['22899', '22900']",28.624596401313465,8385.0,LITTLESTOWN PIKE,MD,0.0426952892069171,9820.0,0.0,GW_MD_22900,4600
379881.9919980186,223418.3042327566,trunk,260525,154976,260526,154976,"['260525', '260526']",3697.7287972931927,5592.0,TANEYTOWN PIKE,MD,0.0997854077253218,5660.0,0.0,GW_MD_260525,2820
434370.8325695102,117066.0600570453,trunk,340584,49742,340585,49742,"['340584', '340585', '465339', '474820']",249.4252730074893,10372.0,SOLOMONS ISLAND RD,MD,0.0505206324720401,7430.0,2942.0,B0600,6440
414585.48439463857,155694.4212117092,motorway,357804,76790,357776,213892,"['357776', '357804']",418.66776275467487,90000.0,"MD-295 Balt-Wash Pkwy (mainline ~106k interior, boundary ~90k)",CO,0.0154997327632282,75660.0,14340.0,GW_CO_357804,36040
470818.7163560176,221404.271896815,trunk,380035,59870,380034,59870,"['380034', '380035']",2638.554910224304,13650.0,US-1 CONOWINGO RD (CASTLETON RD station re-paired to B2304),MD,0.0593272171253822,2610.0,11040.0,B020091,1460
478515.72633275576,210818.1199412408,trunk,392161,27872,467943,61269,"['392161', '467943']",1363.6623879655017,30702.0,US-40 PULASKI HWY (Susquehanna; SUPERIOR ST station re-paired to B2344),MD,0.02,12270.0,18432.0,B120042,5490
429422.3221365507,227977.7202838408,motorway,i83_sb_stub,317687810,i83_nb_stub,317688328,"['i83_sb_stub', 'i83_nb_stub', '270722', '270723']",241.8077465543626,42130.0,I-83 (Harrisburg Expwy),IS,0.092,18380.0,23750.0,GW_IS_270722,18360
